Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9755,0.9742,0.9963,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9825,0.9826,0.9978,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9860,0.9854,0.9956,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9720,0.9701,0.9948,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9790,0.9784,0.9956,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9685,0.9693,0.9967,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9825,0.9822,0.9944,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9720,0.9726,0.9932,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9580,0.9605,0.9912,"{'C': 1, 'max_iter': 10000}"
Logistic Regression,10,0.9825,0.9837,0.9979,"{'C': 10, 'max_iter': 10000}"
