"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Label","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient"
"Bin.9.98"," 0.9406834"," 1.2566964"," 0.9430102"," 0.9443822"," 1.1454166"," 0.9373405","-1.8385979","-2.0392092"," 0.4528069","-1.8416806","-1.8400626"," 0.9476193"," 0.4469511","-2.0551580"," 0.4563680"," 1.2673016","-1.8420517"," 0.9435507"," 0.9455171"," 0.4462631"," 0.4500157"," 0.4447777"," 1.1311249"," 0.9449476"," 0.9469576"," 1.1524789","-2.1794806"," 1.8896619"," 1.5954635"," 1.6876109"," 0.9499482"," 0.9462989","-2.5180640"," 1.7538919"," 0.4548835"," 1.2718231","-2.1865584","-2.3812666"," 1.1541580","-1.8525015","-1.8468169"," 0.4990960"," 0.9452426","-1.8512597"," 0.9440692","-2.1771264"," 0.4436236","-2.0834294","-2.0697604"," 0.9230430"
"Bin.9.94"," 1.0783158"," 0.5891348","-1.6930056"," 1.2877176"," 1.2817050"," 1.0749948"," 1.0703424","-1.8820150"," 0.5936420","-1.6857831","-1.6841757"," 1.0852061","-1.6772412","-1.6921322"," 0.5971797"," 1.0767129","-1.6861518"," 1.2868914"," 1.0831177"," 0.5871412"," 0.5908691","-1.6750720"," 0.5847588","-1.6949303"," 1.0845488"," 1.2887210","-2.0213656"," 1.9187058"," 1.8379489"," 1.8865756","-1.6998980"," 1.0838944","-2.2373727"," 1.6995965","-1.6851572"," 1.2869312","-1.9080463","-2.0160826"," 1.0846614","-1.6965330","-1.6908857"," 1.1168690"," 1.6604237"," 1.0829211"," 0.6045674","-2.0190269"," 0.5845190"," 1.1078363","-1.9123656"," 1.0607912"
"Bin.9.90"," 0.9330769"," 0.4484472"," 1.2584106"," 1.1405304"," 1.1345738","-2.0106921"," 1.1289893","-2.1189411","-1.8026318"," 0.9282116","-1.8037122"," 0.9399031"," 0.4471493","-2.0154075","-1.8061521"," 1.1353014"," 0.4559373"," 1.4091582"," 0.9378341"," 0.4464722","-1.7998723","-1.7946932"," 0.9166976","-1.8143667"," 0.4665673"," 1.1415244","-2.1377649"," 1.7478201"," 1.5775065"," 1.1413046"," 1.1460091"," 0.9386036","-2.3970928"," 1.7702369"," 0.9275915"," 1.1397513","-2.2293277","-2.1325310"," 1.1431770"," 1.2619057","-1.8103598"," 0.4984699"," 1.4108237"," 0.9376393"," 0.9364092","-2.1354479"," 1.1202692","-2.2470603","-1.8259643"," 0.9157154"
"Bin.9.86"," 1.1071233"," 1.0948661","-1.8990694"," 1.1108343"," 1.1047628","-2.3088777"," 1.2205991","-1.8821903"," 0.8916990","-1.8917761","-1.8901530"," 0.9063403","-1.8831505"," 0.4190600"," 0.4135363"," 1.4809958"," 0.4130469"," 1.3177559"," 0.9042314"," 0.4033994"," 0.4071638"," 0.4019093"," 0.8826875"," 0.4218737"," 0.9056765"," 1.1118475","-1.9013738"," 1.7651320"," 1.5562322"," 1.2331520","-2.2353000","-2.3847494"," 0.9143825"," 1.2327585"," 0.8937914"," 1.3177961","-2.3239714"," 0.4169215"," 1.2350606"," 1.2345489","-2.2261980"," 0.4563992"," 1.3863369","-1.9013855"," 1.1105203","-1.8990125","-1.8797969","-2.1342891","-1.9128340"," 0.8816864"
"Bin.9.82"," 0.8555829"," 0.8433859"," 0.3784244"," 1.0660267"," 1.0599842","-1.9238671"," 0.8475699","-1.9127290"," 0.3684976","-1.9222692","-1.9206538"," 0.8625076"," 0.8420631"," 1.0637788"," 0.3720529"," 1.2674876"," 0.8510181"," 1.1861456"," 0.8604088"," 0.3619644"," 0.8451369"," 0.3604814"," 0.3595702"," 0.8598402"," 0.8618469"," 1.2738005","-1.9318211"," 1.6422365"," 1.6411026"," 1.4405134","-2.4709236","-1.9328109","-2.6833731"," 1.1873697"," 1.0567682","-2.2578073","-2.2665877"," 1.0616413"," 1.3420415"," 0.8614510","-1.9273971"," 0.8943280"," 1.3946033","-1.9318328"," 1.1866634"," 0.3783681","-2.3238598","-2.5373283","-2.1499791"," 0.3585786"
"Bin.9.78"," 0.7408154"," 0.2362408"," 0.2510784"," 0.7446056"," 0.9506048","-2.4482417"," 0.7325911"," 0.2339131"," 0.7329670","-2.1102641"," 0.7340919"," 0.7479225"," 0.7269391","-2.1168129","-2.1111464"," 0.9513624"," 0.7361301"," 0.9559544"," 0.9579697"," 1.0625666"," 0.2380297"," 0.2326624"," 0.7237620"," 0.2530554"," 0.7472445"," 0.9578416"," 0.2534226"," 1.5693295"," 1.4440246"," 1.3411653"," 1.2988674","-2.6138205","-2.6792111","-2.8536616","-2.1096185","-2.3305097","-2.6200571","-2.4509574"," 1.0836998"," 1.0831772"," 0.2489009"," 0.2883221"," 1.0818261"," 1.0819045"," 1.0806235"," 0.2510206"," 1.0598487","-2.5702002"," 0.2650825"," 0.9349374"
"Bin.9.74"," 0.5090746"," 0.2402140"," 0.8475682"," 0.5136099"," 0.5061899","-0.3376653","-0.3433815","-0.3512810"," 0.6482048"," 0.5030133","-3.1539391"," 0.5175790","-0.3501129"," 0.2569664"," 0.2501868"," 0.2532136"," 0.6519900"," 0.7664917"," 0.5150014","-0.3509563","-0.3463557","-0.3527773"," 0.4886686","-0.3283786"," 0.5167676"," 0.2609644"," 0.6632662"," 1.2700912"," 1.2197849"," 0.6630961"," 0.7743361"," 0.5159600","-3.1803150"," 0.5140933"," 0.5022408","-0.3300352","-3.4302129"," 0.2543419"," 0.7708081"," 0.7701828","-0.3333491"," 0.5566579"," 0.5146649","-3.4215502"," 0.7671275"," 0.6603800"," 0.8240108","-3.1984138","-0.3139890"," 0.6359661"
"Bin.9.70"," 0.006961999"," 0.844929260","-2.423373833"," 0.734190614"," 0.727821289","-2.417407122","-2.412478724"," 0.497106901"," 0.722236064"," 0.725094497"," 0.505460242"," 0.519664471","-2.406674080","-2.422448554"," 0.508069163"," 0.856089838"," 0.507553553"," 0.009966788"," 0.735385028"," 0.842807192","-0.004000725","-0.009513023"," 0.494851330","-2.643345465"," 0.518968105"," 0.011896613"," 0.862655023"," 1.453716615"," 1.382356236"," 0.952966482"," 1.085490586"," 1.024320655","-2.436661080"," 1.080047134"," 0.724431391"," 0.733357537","-2.651172492","-2.638127823"," 1.025133283"," 0.863974430","-2.639060356"," 0.771142887"," 1.241161283"," 1.129089216"," 1.021973866","-2.423314193"," 0.494596048"," 0.543637218"," 0.529253919"," 0.839220716"
"Bin.9.66"," 0.40805680"," 0.61329833","-2.74819540"," 0.63006362"," 0.62368908"," 0.75024077"," 0.39960349","-2.73047134"," 0.74569395"," 0.40285022","-2.52072311"," 0.63347343","-0.11195954","-2.52915850","-0.10204126"," 0.40635744"," 0.62135100","-0.09475281"," 0.63125901"," 0.73876907","-0.10873175","-0.11424856"," 0.73623098"," 0.63065913"," 0.63277641"," 0.63112733"," 0.84916458"," 1.36553250"," 1.21341612"," 1.19474726","-3.22882642"," 0.97780682","-2.88909044"," 1.26455668"," 0.62029641","-0.09471080","-2.88566476"," 0.62543722"," 1.02713071"," 0.92070714"," 0.75396540"," 0.79464189"," 0.97669418","-2.75062753"," 0.97545811"," 0.75615361"," 0.82650668","-2.99517286","-0.08092555"," 0.60758527"
