"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.98",-0.084503,-0.19939,-0.10043,0.21955,0.027223,0.1206,-0.31124,0.059752,0.021831,-0.11143,-0.071986,-0.28265,0.029343,-0.00058449,0.12359,0.066204,0.19456,-0.060776,-0.21043,-0.12386,0.18031,0.084726,0.13978,0.19496,-0.016246,0.086737,-0.0033365,0.094028,-0.0014444,0.042082,0.037437,0.0067842,-0.050721,0.14452,0.12997,-0.12193,0.26237,0.044925,0.078081,-0.0025557,-0.1149,0.06489,-0.021533,0.10177,-0.028939,0.18218,-0.053653,0.037254,-0.027277,0.20339
"Bin.9.94",-0.039688,-0.17123,-0.25801,0.13722,-0.031847,0.016391,-0.24502,0.046285,-0.0054666,-0.3463,-0.056843,-0.066451,-0.12327,0.18427,-0.0022474,0.067184,0.13334,-0.01023,0.3405,0.063852,0.051852,0.11405,-0.058588,0.20287,-0.13989,-0.13851,0.1138,0.096774,-0.0042857,-0.1625,0.11418,0.10125,-0.024595,0.083547,-0.018895,0.070309,-0.11474,-0.022938,-0.054245,-0.036518,0.095812,-0.0058856,0.083089,-0.067034,0.17866,-0.14537,0.068002,-0.031179,-0.0068838,-0.16195
"Bin.9.90",-0.11488,-0.17118,-0.18053,0.075767,-0.011902,0.23108,-0.222,0.030153,0.20915,0.017081,-0.10439,0.15592,-0.076717,-0.17378,-0.099412,-0.16079,-0.051034,-0.21733,0.017214,0.14929,0.064401,0.035162,-0.013238,-0.18732,-0.10203,0.06648,0.20545,-0.39009,-0.0092632,0.01156,-0.2123,0.08445,0.021529,0.00021199,-0.046683,0.030195,-0.06111,-0.1079,-0.067275,0.17789,0.020619,-0.070734,-0.12018,0.044763,-0.085177,0.0095574,0.035653,-0.094267,0.089444,-0.053249
"Bin.9.86",-0.090681,-0.10931,-0.18806,0.25697,0.16518,-0.13988,-0.086594,0.16868,-0.15562,0.045379,-0.19727,0.25965,0.04617,0.14913,0.13473,0.14462,-0.24111,0.041572,-0.038478,-0.0097267,0.044127,-0.089328,0.14334,-0.083269,0.15704,-0.11103,-0.12666,0.017833,-0.076442,-0.17074,0.042269,0.05867,0.030425,-0.14687,0.064565,-0.02429,-0.057015,-0.032723,0.13845,-0.13001,-0.074804,-0.10186,0.05718,0.013933,-0.09249,-0.052447,-0.064252,-0.010179,0.046193,0.12921
"Bin.9.82",-0.10348,-0.16252,-0.078001,0.28785,-0.027085,-0.2135,-0.021243,0.1954,-0.17913,0.092188,-0.14445,0.19804,0.14282,-0.018144,-0.10214,-0.028148,-0.098131,0.13656,-0.2038,-0.17475,-0.031523,0.086379,-0.25621,-0.15757,0.015358,0.002692,0.0075372,-0.057252,-0.13553,0.14312,-0.010469,-0.11726,-0.075233,0.075852,-0.021011,-0.037328,-0.0072473,0.010376,0.030543,0.11617,0.061693,0.034405,-0.10648,-0.066219,0.090676,-0.074842,0.036594,0.038452,-0.050677,-0.020735
"Bin.9.78",-0.08831,-0.11442,-0.066664,0.14571,-0.10754,0.2836,0.29392,0.054968,0.051263,0.042229,-0.08538,0.1331,0.2313,0.17265,-0.38433,0.16729,0.18783,-0.17869,-0.054277,-0.1323,-0.16491,-0.25007,-0.0923,0.16387,-0.08234,-0.04581,0.13222,0.15469,0.054879,0.10239,-0.085039,-0.022027,0.031127,-0.10328,0.014179,0.079439,0.04528,-0.086671,0.053352,-0.076094,-0.052726,-0.058576,-0.018267,-0.0066425,0.013707,0.046746,-0.0089782,0.1042,0.013477,-0.0044548
"Bin.9.74",-0.11385,-0.13407,-0.05835,0.069385,0.044103,0.022134,0.023167,0.052172,-0.092816,0.25164,0.075997,-0.23366,0.041631,-0.052625,-0.057157,-0.38162,-0.064499,0.041975,-0.10083,-0.14453,-0.038098,0.087309,-0.068894,0.067452,-0.037263,0.042803,-0.063614,-0.0011832,-0.02353,0.018122,0.20462,0.081703,-0.045152,-0.13731,0.084962,0.18013,-0.0030214,-0.0027302,-0.13429,-0.029354,-0.16027,-0.033617,0.060697,0.065357,-0.06939,-0.069836,0.033794,0.062024,-0.12454,-0.096665
"Bin.9.70",-0.040923,-0.11766,-0.2606,-0.077769,0.046677,0.25498,0.022286,0.20726,0.18345,-0.13119,-0.014696,-0.17976,0.08031,-0.023605,0.077443,0.12737,-0.15017,0.14706,0.217,-0.10178,-0.10447,-0.17544,0.082681,-0.099032,0.35392,0.17741,-0.10836,0.019464,0.12128,0.24899,-0.029289,-0.14041,-0.049255,0.040878,-0.1944,0.0045139,-0.025716,0.023734,-0.086211,0.030995,-0.11407,0.11105,0.048913,0.078951,-0.060165,-0.048478,-0.0081397,-0.025637,-0.019757,-0.057499
"Bin.9.66",-0.13309,-0.11467,-0.14819,0.11721,0.08619,-0.24095,0.044543,-0.12946,-0.06346,-0.070015,0.16701,-0.24553,0.1769,-0.035775,-0.11897,-0.2281,0.057805,0.037902,0.0064626,-0.044792,-0.086058,-0.15124,0.028418,-0.030905,0.095808,0.083809,-0.014887,-0.13272,0.062139,-0.24478,-0.09699,0.2011,-0.11641,-0.034122,-0.21226,0.090907,-0.0059817,-0.016903,0.020685,-0.12565,0.14903,0.15434,-0.11946,0.027809,0.054162,0.08816,-0.021506,0.081057,0.10743,-0.096309
"Bin.9.62",-0.14054,-0.13064,-0.16659,0.040824,0.020565,0.045512,-0.013986,0.075102,-0.017971,0.23655,0.14087,-0.028686,0.058793,-0.14772,0.22949,0.094755,-0.029892,-0.092219,0.17421,0.23281,-0.078566,-0.062039,-0.089756,-0.20255,-0.22108,-0.17436,-0.054895,0.15138,-0.10035,0.03116,0.018611,-0.028354,0.15967,0.0033271,-0.084916,0.063432,0.11026,0.04088,-0.038204,0.012762,-0.027233,-0.10715,0.062028,-0.037031,0.067559,-0.017469,0.081359,0.077765,-0.053956,-0.014473
