"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"C002",-1.2863,-2.2867,-0.85788,1.0877,-0.59677,0.33238,-0.84345,0.84595,-0.3933,1.3023,-0.36162,0.47501,-1.4277,0.58718,-0.32375,0.65639,1.6196,-0.21983,-0.29266,0.33956,0.11407,-0.28536,-0.82116,0.35341,0.034095,0.66302,-0.99549,-0.32357,-0.34178,-0.38635,0.50487,1.2409,0.80426,-0.82201,-1.3124,-0.64774,-0.49128,0.80784,0.41662,0.11238,0.26902,0.52171,0.4678,-0.010186,-0.57179,-0.038584,0.29477,0.048875,0.03071,1.1484e-15
"C004",1.2163,-4.1605,-0.52714,-0.60824,3.123,-0.66686,0.32285,0.75785,0.017234,-0.73217,-1.1012,-0.33853,0.22789,-0.4935,-0.42941,0.83647,0.12967,0.77527,-1.8086,-0.24256,2.8845,-0.98569,-0.32708,-0.020846,-0.15084,0.063657,0.09343,0.68994,1.1856,-0.10473,-0.6548,0.34558,0.71258,0.76547,-0.39169,1.3333,-1.0025,0.1635,-0.38951,0.19407,-0.29341,-0.12835,-0.11353,0.12989,0.018986,-0.23955,-0.054427,0.09608,0.097347,1.0825e-15
"C005",-1.1184,-0.20166,2.0925,0.37621,-2.4807,1.5439,0.1969,1.3483,0.49584,2.627,1.2476,1.1732,-3.4098,-2.7674,0.49231,0.15432,1.6344,-1.6048,-2.9631,-0.19419,0.28861,1.7122,-0.36027,1.1465,-0.73159,-0.1462,0.41119,0.08004,-0.71337,0.73175,0.33845,-0.41966,0.31626,0.32043,0.43995,-0.25481,0.03883,-0.17585,-0.44999,0.37287,0.0021206,-0.3096,-0.067477,-0.11238,-0.015434,-0.086252,-0.16735,0.0087266,0.0080871,1.2212e-15
"C006",-0.29779,-1.9857,0.28736,5.3498,-1.8688,-0.26283,1.1715,0.37593,1.6836,-0.77763,-0.37143,0.22723,0.46289,-1.6325,1.0088,-1.8212,-1.8996,-1.8913,1.9041,1.2378,1.4417,-0.84899,-0.6537,1.941,1.6804,-0.94798,-0.63802,0.69349,-0.12393,0.85794,-0.1116,0.14384,-0.40628,0.3445,0.10774,0.090338,0.033881,0.069253,-0.029053,0.18811,0.4655,0.2374,0.046818,-0.15919,-0.20407,0.025555,0.033119,0.088653,-0.038267,4.5103e-16
"C007",-1.6,-2.6613,-0.21672,3.0158,-0.58949,1.1913,-0.5611,0.031489,-1.1182,-0.10126,0.5523,-0.53367,-1.3682,1.0853,-0.63704,0.60972,0.018597,-0.40267,0.95513,0.67037,-0.57856,0.59969,-1.3531,-0.48446,0.97708,1.456,-1.4107,-0.22566,1.1421,-0.45522,-0.73302,-0.23997,0.5039,-0.54333,0.7174,-0.080812,0.17208,-0.0014282,0.41316,0.35702,0.16571,-0.74948,-0.57362,0.066599,0.015563,-0.19841,-0.55978,0.12336,0.11726,1.1727e-15
"C009",1.7067,0.83474,4.4165,0.55963,-1.6973,-1.6658,-0.93194,-1.9711,0.14024,-3.4874,1.2548,-2.1193,-1.6325,0.88799,1.3943,-1.6119,0.40227,0.3043,0.25555,-1.7459,0.82569,0.75935,0.34252,1.175,-1.1047,0.30133,0.39031,0.17514,-0.11646,-0.64415,-0.18989,0.76137,-0.44524,0.10263,-0.4487,-0.34256,-0.12048,-0.28777,0.13974,-0.88827,0.055044,-0.34742,-0.49764,0.018049,-0.38834,-0.11859,-0.090193,0.33344,-0.11388,6.3838e-16
"C010",-0.93647,-1.2321,0.40818,1.4817,-0.72049,-0.34948,1.5228,-0.38388,-0.85255,-0.1034,0.32306,2.3294,-0.91085,0.80364,-0.57945,-0.45834,-0.73976,-0.97529,0.43666,1.0515,0.25263,0.26531,-0.48116,-0.63682,-0.69797,-1.2571,0.61274,-0.84739,-0.083686,-1.8774,-0.046676,0.52471,0.18792,-0.24526,0.27316,0.043509,-0.75009,-0.13904,-0.27063,-0.25498,0.49258,-0.23972,0.083707,-0.81375,0.81414,0.22027,0.15271,0.075556,0.022432,5.6899e-16
"C011",8.2842,-2.6956,4.6451,-4.4376,2.2615,0.59925,4.7282,1.8068,0.83175,0.53558,-4.6664,-2.1744,-1.9647,1.5051,-1.5436,-0.061904,-0.91331,-0.62082,1.2747,-1.6123,0.82909,0.66552,0.37039,0.14868,0.52101,0.60299,0.0050187,-0.15392,-0.84106,0.11543,0.39957,0.17372,0.0030323,-0.37067,0.21604,-0.050258,0.19291,-0.25162,-0.12687,0.41933,-0.011705,0.036962,0.07121,-0.07185,0.17239,0.045526,0.0014904,-0.0021713,-0.067002,-6.5226e-16
"C012",0.24283,-3.0274,-0.59254,-0.43482,1.8802,-0.042,2.7778,1.2617,-1.4076,-0.78379,0.63346,-1.267,1.6166,2.4024,1.7514,-0.55127,-0.48634,1.3487,-1.0188,1.4247,-0.67074,-0.52619,-0.22458,1.2106,-0.6134,-0.50948,0.64485,1.1493,0.31369,-0.48835,0.48593,-0.37211,0.27458,0.17357,-0.1752,-1.4502,-0.36994,-0.21648,-0.18367,0.75544,0.023381,-0.14517,-0.11363,0.21399,-0.037397,0.18709,-0.20142,-0.27877,0.11135,5.6032e-16
"C015",1.0254,-1.7248,2.5862,-2.6548,2.6355,0.44796,1.1048,-0.36288,1.4852,0.40537,1.3093,-1.2787,-1.072,-1.5416,0.89529,-1.0677,-0.9281,0.29732,0.11924,2.4219,-1.4358,-0.061939,-0.43518,-0.98464,1.115,0.51592,1.9378,-1.4828,0.39547,-0.22158,0.80309,0.01184,0.053968,0.23635,-0.32544,0.53895,-0.2384,-0.11365,0.095631,-0.1377,0.032162,0.16574,0.0035965,0.051365,-0.49795,-0.27489,-0.19841,0.037333,-0.26065,-2.2204e-16
