"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.9.98",-0.064364,-0.10983,0.20098,-0.15005,0.32281,-0.33589,0.24459,-0.036533
"Bin.9.94",7.7994e-05,-0.0095375,0.18419,-0.33188,0.23064,-0.40796,0.28205,-0.024217
"Bin.9.90",0.039357,-0.097645,0.25451,-0.21703,0.21634,-0.2276,0.20655,-0.032836
"Bin.9.86",0.014012,-0.1162,0.054204,-0.28702,0.37692,-0.15593,0.060518,0.10214
"Bin.9.82",-0.058349,-0.16013,0.098973,-0.20647,0.32416,-0.024158,0.1798,-0.17697
"Bin.9.78",-0.015436,-0.11985,0.092288,-0.17225,0.18529,0.20636,-0.10691,-0.33995
"Bin.9.74",0.0011141,-0.13677,0.16553,-0.12496,0.17823,0.073314,-0.075097,-0.052802
"Bin.9.70",0.061315,0.010756,0.16251,-0.35419,0.08085,0.12195,-0.024284,0.018187
"Bin.9.66",0.061635,-0.13865,0.16585,-0.18023,0.29914,-0.010585,-0.14766,-0.018651
"Bin.9.62",0.075256,-0.1351,0.19797,-0.25282,0.14963,-0.038123,0.037263,0.006779
"Bin.9.58",0.036436,-0.13055,0.15763,-0.28142,0.20875,0.14892,-0.23344,0.050456
"Bin.9.54",0.073458,-0.11744,0.14706,-0.23948,0.13711,-0.03952,-0.13248,-0.032858
"Bin.9.50",0.17077,-0.12385,0.088098,-0.13244,0.21222,-0.29756,-0.039049,0.13756
"Bin.9.46",0.074875,-0.13601,0.015266,-0.029,0.037643,-0.016959,-0.0053354,0.090757
"Bin.9.42",0.18034,-0.13132,0.059125,-0.22166,0.14142,-0.16636,-0.053722,0.17832
"Bin.9.38",0.11132,-0.17109,0.043602,-0.045038,-0.017469,0.081509,-0.17382,0.1117
"Bin.9.34",0.11205,-0.1181,0.18505,-0.32758,-0.080192,0.35399,-0.037628,0.030856
"Bin.9.30",0.061408,-0.17572,0.00064503,-0.041563,-0.012853,0.12374,-0.19897,0.12731
"Bin.9.26",0.022575,-0.032879,-0.02107,-0.1433,0.060894,0.06415,-0.12781,0.081904
"Bin.9.22",0.14435,-0.09492,0.090297,0.083956,0.11695,-0.050985,-0.18784,0.12153
"Bin.9.18",0.11492,-0.10988,0.24351,-0.079277,-0.066733,0.032667,-0.11914,0.13469
"Bin.9.14",-0.0064196,-0.076987,0.037712,0.0040133,-0.0656,-0.059672,0.072093,0.10748
"Bin.9.10",0.080401,-0.19119,0.04006,0.058777,-0.048127,-0.002952,-0.060771,0.10163
"Bin.9.06",0.084573,-0.17516,0.056129,0.097893,-0.07257,0.0055498,-0.093376,0.12133
"Bin.9.02",0.11295,-0.16782,0.041119,0.047064,-0.053861,0.027293,-0.091515,0.080767
"Bin.8.98",0.064165,-0.040573,0.0097806,-0.0070764,-0.012513,0.11892,-0.067862,-0.029604
"Bin.8.94",0.13638,-0.15885,0.052919,0.050649,-0.0472,0.13017,-0.087256,0.083557
"Bin.8.90",0.070713,-0.071853,0.0091889,0.0075099,-0.013396,0.081171,-0.10428,0.0042778
"Bin.8.86",0.032119,-0.066388,0.023759,0.010234,-0.062574,-0.05059,0.030567,0.10234
"Bin.8.82",0.012141,-0.080674,0.022751,0.0093249,-0.060685,-0.074057,0.038171,0.11009
"Bin.8.78",0.11842,-0.0078628,0.030843,-0.035473,-0.039164,-0.081739,0.0050598,0.046844
"Bin.8.74",0.18996,0.015084,0.10277,-0.15444,-0.22961,0.085435,-0.076835,0.22039
"Bin.8.70",0.17057,0.017823,0.091469,-0.19341,-0.1768,0.13499,-0.023081,0.1762
"Bin.8.66",0.12661,-0.0090143,0.044658,-0.044116,-0.032368,0.009025,-0.0098789,0.033535
"Bin.8.62",0.14644,0.012882,0.07038,-0.12067,-0.18674,0.074428,-0.054616,0.056479
"Bin.8.58",0.11728,-0.018484,0.041121,-0.030794,-0.059796,0.066996,-0.025867,0.018246
"Bin.8.54",-0.014331,-0.050326,0.0013435,-0.016316,-0.066997,-0.014667,0.076449,0.05053
"Bin.8.50",0.068228,-0.034489,0.018083,-0.010616,-0.059056,-0.023337,0.066821,0.012196
"Bin.8.46",0.051837,-0.018872,0.00061492,-0.0071391,-0.027751,-0.031645,-0.019476,-0.035128
"Bin.8.42",0.13285,0.011001,0.039555,-0.041984,-0.076839,0.078973,-0.040086,0.0070845
"Bin.8.38",0.1174,0.007782,0.028019,-0.060573,-0.053802,0.15948,-0.013075,-0.028585
"Bin.8.34",0.068304,-0.013169,0.041759,-0.0079284,-0.0051413,0.085018,-0.078033,-0.00027921
"Bin.8.30",0.10401,-0.0041333,0.04512,0.00015869,-0.017194,0.074489,-0.057051,0.041096
"Bin.8.26",0.11129,0.0020883,0.024302,-0.032691,-0.057512,0.081021,-0.0055718,0.0069393
"Bin.8.22",0.06505,0.00247,-0.00056539,-0.05207,-0.062769,0.12871,-0.0087485,-0.02823
"Bin.8.18",0.025557,-0.022476,-0.0038409,-0.044758,-0.040543,0.11339,-0.047613,-0.013019
"Bin.8.14",0.10644,0.00063634,0.04182,-0.014068,-0.029117,0.1226,-0.042186,0.035696
"Bin.8.10",0.042315,-0.025894,0.022325,-0.0042198,-0.04617,-0.0092256,0.0084566,0.059544
"Bin.8.06",0.051146,-0.035236,0.0081914,-0.044446,-0.025421,0.042087,-0.00035304,0.059003
"Bin.8.02",0.027467,-0.032146,0.015355,-0.073196,-0.044268,0.063893,-0.017018,0.020467
"Bin.7.98",0.00098857,-0.016073,0.027504,0.016605,0.025506,-0.0052774,-0.11933,0.082321
"Bin.7.94",0.010183,-0.027547,0.014462,0.069647,-0.041642,0.065377,0.0083594,0.03203
"Bin.7.90",0.038424,0.0063773,0.01163,0.023115,0.050401,-0.093202,-0.064521,0.068594
"Bin.7.86",-0.095055,-0.047494,0.0059665,0.043098,-0.038738,-0.087772,0.12338,0.082206
"Bin.7.82",-0.10313,-0.055426,0.0046009,0.043149,-0.026665,-0.10658,0.13055,0.082976
"Bin.7.78",0.048924,-0.024092,0.038573,0.017583,-0.0081453,0.049714,-0.071838,-0.020128
"Bin.7.74",0.033078,-0.022029,0.018575,0.010853,-0.014082,0.059706,-0.037898,-0.012906
"Bin.7.70",0.012869,-0.022606,0.050588,0.019907,0.0029103,-0.0041559,-0.080855,0.03662
"Bin.7.66",-0.087426,-0.043457,0.007746,0.042995,-0.025327,-0.083521,0.093957,0.082474
"Bin.7.62",-0.065765,-0.061991,0.0098034,0.053562,-0.033904,-0.10254,0.12395,0.089861
