"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C002",-0.99523,-1.4594,0.44196,-1.9335,-0.70018,-1.8907,-0.66567,-1.4299
"C004",-2.9203,-0.19011,1.1438,-1.7422,0.25979,-0.13699,-2.0757,0.075672
"C005",-1.3539,-2.6809,-1.5413,-1.1605,-2.7824,-0.65516,1.5423,-0.43198
"C006",-3.142,-3.3725,-1.9201,-0.76194,2.9324,0.46721,1.2637,-1.8737
"C007",-2.1189,-2.9198,-0.23882,-1.4362,0.77278,-1.3476,0.61576,-0.54836
"C009",-2.3204,-1.0065,-1.3473,2.1408,-2.2613,-1.9074,0.38265,-0.34548
"C010",-1.505,-2.2939,-0.97574,-1.2619,-0.13675,-0.18305,0.055492,-0.86423
"C011",-5.9371,2.9723,-0.51532,0.7738,-2.3513,3.1919,-2.6911,0.50921
"C012",-2.3799,-1.4591,-0.55618,-3.028,-0.58303,0.55933,-1.9562,0.0097104
"C015",-2.5056,-0.79617,0.068107,-0.27034,-2.5267,-0.25067,-1.7866,1.3814
"C016",-1.9676,-1.141,-4.2269,-0.25912,-3.3364,0.26466,1.3694,0.72968
"C017",-1.4617,-2.6614,0.13731,-1.793,-0.17962,-1.4185,-0.32324,0.17613
"C019",-5.0267,-1.7154,-2.76,5.7351,1.9315,0.27682,-0.69386,-4.4906
"C020",-3.268,-2.3697,-2.997,2.2477,-2.345,0.20205,1.342,0.81241
"C021",-2.5991,-1.1928,-0.97047,-0.21283,-1.4912,-0.15021,1.4104,1.5278
"C022",-3.345,-0.5919,1.3621,-0.0096047,1.4939,-3.5897,-1.994,2.1694
"C024",-1.8396,-1.8116,-0.74997,-2.3151,-1.1265,0.52194,-0.88345,-0.39125
"C026",-3.3629,-2.8105,-1.3479,-1.459,2.2552,0.20566,0.48191,0.60604
"C028",-2.2252,-1.854,-0.66892,-3.8039,-0.51983,-0.66876,0.082983,2.1863
"C029",-1.3952,-2.4848,-0.80851,-2.0553,-0.2392,0.52414,1.1835,-0.14128
"C030",-3.2434,-1.4477,-1.7725,-0.57028,-0.80143,1.1906,1.0851,-1.4707
"C031",-4.4038,0.22069,-1.214,-0.84484,-0.58091,2.3319,-0.90082,-1.0264
"C032",-3.4237,-1.5025,0.46453,-1.7085,0.6985,-0.06299,-0.54782,0.56248
"C033",-5.3976,-4.925,-2.7259,5.3088,5.3269,-0.7067,0.26532,-0.28612
"C034",-0.62782,-2.9502,-0.87559,-3.0351,-1.1281,-1.0466,0.051382,-0.43876
"P002",0.009055,1.9994,4.1237,0.42313,3.7952,0.43145,-0.53594,1.1323
"P012",7.8313,-0.93105,-7.9203,-1.1137,1.6078,2.3215,-1.386,1.3318
"P014",3.103,-1.771,2.8731,-2.0253,1.6045,0.47146,0.80227,-0.82561
"P027",2.0106,-2.3941,0.5731,-2.1984,1.7801,0.61864,2.2828,0.82852
"P034",2.0374,0.25162,3.7347,0.88482,2.0846,0.026371,-0.012779,-0.94695
"P037",-0.17312,2.8894,3.5176,5.4996,-0.67293,-0.55426,1.2653,-2.2425
"P038",4.2978,1.2227,2.4399,0.28462,-1.9585,-1.4554,-0.21816,-0.71517
"P041",8.564,3.5373,-12.974,2.4357,1.7902,-1.2341,-0.87016,2.5134
"P042",2.7231,-1.9571,1.1929,-0.36971,0.45616,0.24172,3.4152,1.7245
"P049",0.50892,1.6389,3.3931,0.9776,1.39,1.75,-0.061512,3.0565
"P056",0.81808,2.1074,3.9559,0.32881,-0.14097,-1.2189,0.018866,4.573
"P058",0.41969,4.0285,0.8541,6.3702,-3.3747,-0.17624,0.77853,2.2319
"P060",2.4956,1.625,1.9507,2.2054,-0.56419,-0.32696,-1.7423,-0.67197
"P064",4.5284,-1.1726,1.6565,-1.3661,0.78587,-0.24403,0.0013927,-1.2731
"P065",3.9994,-0.78543,1.1044,-1.1009,0.041922,1.6766,0.66731,-0.75377
"P070",2.5553,1.0894,1.0321,2.7767,-1.1798,0.4849,-0.068371,-0.40627
"P080",3.1094,1.3241,0.49542,0.61099,3.351,-1.011,-0.86521,-0.67955
"P085",4.7321,-1.295,3.7546,-1.1793,0.022051,-0.29932,-0.1525,-1.3757
"P086",4.0632,1.7837,0.69917,-0.12085,-3.5279,0.36269,0.51254,-1.207
"P089",5.0639,-1.3657,1.0064,-1.5416,0.56943,0.34832,0.36856,-1.0972
"P092",1.3846,-0.32373,0.92679,3.4307,-0.91081,1.0135,1.0489,0.60519
"P099",-1.5099,2.1519,5.7606,1.9635,1.4139,1.7193,-0.73071,3.1899
"P113",-4.241,27.712,-2.1077,-3.5568,1.4331,-0.56269,1.4193,-1.4902
"P013b",6.1624,0.90944,0.6247,0.47866,-3.1602,-0.69075,-2.0818,-2.3843
"P100b",4.2724,0.16894,1.9277,-0.64286,0.78326,0.586,-0.46892,-2.1252
