"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.8.74",2.6868,2.4127,2.2626,2.3368,2.3307,2.3246,2.3129,2.3134
"Bin.0.50",2.532,2.3498,2.2372,2.2138,2.1865,2.1627,2.1812,2.177
"Bin.8.70",2.3729,2.131,2.0043,2.1058,2.0872,2.0937,2.0815,2.0772
"Bin.0.82",2.1624,1.9531,1.8321,1.7829,1.7614,1.7421,1.7312,1.7266
"Bin.2.54",2.1619,2.027,1.9772,1.945,1.9253,1.9073,1.8954,1.8906
"Bin.2.70",2.13,1.9989,1.9429,1.9126,1.8922,1.8751,1.8633,1.8588
"Bin.0.26",2.0612,2.1059,1.9875,1.9458,1.9221,1.9012,1.8981,1.9136
"Bin.0.22",2.0256,2.1382,2.0262,1.9675,1.9469,1.9258,1.9353,1.9377
"Bin.9.22",1.9976,1.7941,1.8481,1.8387,1.8211,1.8119,1.8025,1.8044
"Bin.8.42",1.9886,1.7875,1.6736,1.6408,1.6236,1.6097,1.6003,1.5959
"Bin.2.66",1.9677,1.847,1.8168,1.7805,1.762,1.7442,1.7336,1.7288
"Bin.0.78",1.9536,1.7547,1.6434,1.5968,1.5771,1.5601,1.5502,1.5459
"Bin.8.62",1.9516,1.7545,1.6584,1.7635,1.7805,1.7625,1.7531,1.7483
"Bin.7.82",1.8334,1.6679,1.5652,1.5233,1.5051,1.4887,1.497,1.493
"Bin.9.82",1.788,1.7462,1.6898,1.6426,1.7821,1.7628,1.7532,1.7555
"Bin.8.66",1.7779,1.5965,1.4962,1.4658,1.4485,1.4329,1.4239,1.4201
"Bin.0.94",1.7773,1.6091,1.5096,1.4673,1.4495,1.4336,1.4246,1.4208
"Bin.7.54",1.7604,1.6094,1.5103,1.4723,1.4546,1.4392,1.4464,1.4425
"Bin.8.38",1.7217,1.5467,1.4481,1.4177,1.4003,1.4057,1.3996,1.3967
"Bin.8.14",1.7148,1.5471,1.4623,1.4198,1.4028,1.3991,1.3922,1.3883
"Bin.8.30",1.6849,1.5207,1.4448,1.4031,1.3859,1.3754,1.3673,1.364
"Bin.2.58",1.6698,1.6201,1.6267,1.6292,1.6263,1.6155,1.6054,1.601
"Bin.0.98",1.6694,1.5028,1.4074,1.3665,1.3496,1.3365,1.3292,1.3257
"Bin.0.46",1.6493,1.8562,1.7506,1.7001,1.6809,1.6895,1.6901,1.6905
"Bin.7.86",1.6446,1.4923,1.4016,1.3648,1.3487,1.3351,1.3466,1.3432
"Bin.9.18",1.6119,1.4475,1.6431,1.6332,1.6157,1.6002,1.5901,1.5931
"Bin.8.26",1.5772,1.4163,1.3261,1.2985,1.2842,1.2737,1.2676,1.265
